name,Modification,Chassis ID,Engine,Drive
MAZDA ,G,"ABA-,HF21S",K6A,Full-time 4WD
MAZDA ,X,"CBA-,HF21S",K6A,FF
MAZDA ,LX,"TA-,EP3W",L3,FF
MAZDA ,X,"ABA-,HF21S",K6A,Full-time 4WD
MAZDA ,TYPE M,"CBA-,HF21S",K6A,FF
MAZDA ,TYPE M,"ABA-,HF21S",K6A,Full-time 4WD
MAZDA ,TURBO,"TA-,HF21S",K6A,FF
MAZDA ,TURBO,"TA-,HF21S",K6A,Full-time 4WD
MAZDA ,LX,"TA-,EP3W",L3,Full-time 4WD
MAZDA ,FB-X,"TA-,EP3W",L3,Full-time 4WD
MAZDA ,FIELD BREAK,"TA-,EP3W",L3,Full-time 4WD
MAZDA ,FIELD BREAK,"LA-,EPFW",AJ,Full-time 4WD
MAZDA ,LX,"TA-,EP3W",L3,FF
MAZDA ,LX,"TA-,EP3W",L3,Full-time 4WD
MAZDA ,FB-X,"TA-,EP3W",L3,Full-time 4WD
MAZDA ,FIELD BREAK,"TA-,EP3W",L3,Full-time 4WD
MAZDA ,FIELD BREAK,"LA-,EPFW",AJ,Full-time 4WD
MAZDA ,G,"UA-,HF21S",K6A,FF
MAZDA ,G,"LA-,HF21S",K6A,Full-time 4WD
MAZDA ,X,"UA-,HF21S",K6A,FF
MAZDA ,X,"LA-,HF21S",K6A,Full-time 4WD
MAZDA ,L,"UA-,HF21S",K6A,FF
MAZDA ,L,"LA-,HF21S",K6A,Full-time 4WD
MAZDA ,FIELD BREAK,"LA-,EPFW",AJ,Full-time 4WD
MAZDA ,FIELD BREAK,"LA-,EPFW",AJ,FF
MAZDA ,FIELD BREAK,"TA-,EPEW",YF,Full-time 4WD
MAZDA ,GL-X L-PACKAGE,"LA-,EPFW",AJ,Full-time 4WD
MAZDA ,LX,"LA-,EPFW",AJ,FF
MAZDA ,LX G-PACKAGE,"LA-,EPFW",AJ,FF
MAZDA ,LX,"LA-,EPFW",AJ,Full-time 4WD
MAZDA ,TYPE M,"UA-,HF21S",K6A,FF
MAZDA ,TYPE M,"LA-,HF21S",K6A,Full-time 4WD
MAZDA ,TURBO,"TA-,HF21S",K6A,FF
MAZDA ,TURBO,"TA-,HF21S",K6A,Full-time 4WD
MAZDA ,SS,"TA-,HF21S",K6A,FF
MAZDA ,LX G-PACKAGE,"LA-,EPFW",AJ,Full-time 4WD
MAZDA ,GL-X,"LA-,EPFW",AJ,Full-time 4WD
MAZDA ,LX G-PACKAGE,"TA-,EPEW",YF,Full-time 4WD
MAZDA ,LX,"TA-,EPEW",YF,Full-time 4WD
MAZDA ,LX G-PACKAGE,"TA-,EPEW",YF,FF
MAZDA ,LX,"TA-,EPEW",YF,FF
MAZDA ,GL-X L-PACKAGE,"LA-,EPFW",AJ,Full-time 4WD
