title,No of rating,Product_Type,image_url,Product_link,precentage_off,Regular_Price,stock,Discounted_Price,content,Brand,SkU,Model,Warranty_Type,Warranty_Period,Receiving Items,dropship_supplier,rating_out_of_5
MICROSOFT OFFICE 365 PERSONAl 1 USER 1 YEAR 2019,6 Ratings,Software,https://my-test-11.slatic.net/p/12f8fa21f9de4874b365eb158f585793.png_200x200q90.jpg_.webp,https://www.lazada.com.my/products/microsoft-office-365-personal-1-user-1-year-2019-i1422460968-s4562062655.html?search=1,,RM176.00,Only 5 items left,,Buy MICROSOFT OFFICE 365 PERSONAl 1 USER 1 YEAR 2019 online at Lazada Malaysia. Discount prices and promotional sale on all Productivity. Free Shipping.,Microsoft,1422460968_MY-4562062655,MICROSOFT OFFICE 365 PERSONAL SUBSCRIPTION 1 USER 1 YEAR 2019,,,1x MICROSOFT OFFICE 365 PERSONAL SUBSCRIPTION 1 USER 1 YEAR 2019,https://www.lazada.com.my/shop/hp-store-clicknet/?itemId=1422460968&channelSource=pdp,5.0
McAfee LiveSafe 1 Year 1 Device,15 Ratings,Software,https://my-test-11.slatic.net/p/af84e3bc6c59c0d00456b97290987447.jpg_200x200q90.jpg_.webp,https://www.lazada.com.my/products/mcafee-livesafe-1-year-1-device-i992990727-s2617642662.html?search=1&freeshipping=1,-51%,RM49.00,,RM99.00,Buy McAfee LiveSafe 1 Year 1 Device online at Lazada Malaysia. Discount prices and promotional sale on all Security Software. Free Shipping.,,,,,,,https://www.lazada.com.my/shop/mcafee/?itemId=992990727&channelSource=pdp,
Special Promotion - McAfee Total Protection 1 Device 1 Year,25 Ratings,Software,https://my-test-11.slatic.net/p/26b27d5f98ba43edd68d781f992ba664.jpg_200x200q90.jpg_.webp,https://www.lazada.com.my/products/special-promotion-mcafee-total-protection-1-device-1-year-i1126152789-s3184504736.html?search=1&freeshipping=1,,RM69.00,,,"""Buy Special Promotion - McAfee Total Protection 1 Device 1 Year online at Lazada. Discount prices and promotional sale on all. Free Shipping.""",,,,,,,https://www.lazada.com.my/shop/mcafee/?itemId=1126152789&channelSource=pdp,
Canva Pro Lifetime Account,6 Ratings,Software,https://laz-img-cdn.alicdn.com/tfs/TB1Yltkl4TpK1RjSZFKXXa2wXXa-720-720.png_340x340q80.jpg,https://www.lazada.com.my/products/canva-pro-lifetime-account-i1819378800-s7213406712.html?search=1&freeshipping=1,-8%,RM36.90,,RM39.90,Buy Canva Pro Lifetime Account online at Lazada Malaysia. Discount prices and promotional sale on all Productivity. Free Shipping.,,,,,,,https://www.lazada.com.my/shop/buy2u/?itemId=1819378800&channelSource=pdp,5.0
Logic Pro X 10.6.1 For Mac 🔥LIFETIME 100% working🔥 Catalina✔ BigSur✔,7 Ratings,Software,https://laz-img-cdn.alicdn.com/tfs/TB1Yltkl4TpK1RjSZFKXXa2wXXa-720-720.png_340x340q80.jpg,https://www.lazada.com.my/products/logic-pro-x-1061-for-mac-lifetime-100-working-catalina-bigsur-i800030896-s1863964406.html?search=1,,RM29.90,,,"""Buy Logic Pro X 10.6.1 For Mac 🔥LIFETIME 100% working🔥 Catalina✔ BigSur✔ online at Lazada. Discount prices and promotional sale on all. Free Shipping.""",,,,,,,https://www.lazada.com.my/shop/top-groceries/?itemId=800030896&channelSource=pdp,
