Video Title,Number of Viewers,Video posting date,Video Length
Penguin | Song on birds | 4K | Appu Series,"18,453 views","Jan 1, 2020",2:37
Eagle | Song on birds | 4K | Appu Series,"30,841 views","Dec 18, 2019",2:22
Dove | Song on birds | 4K | Appu Series,"12,294 views","Dec 17, 2019",2:35
Cuckoo | Song on birds | 4K | Appu Series,"17,451 views","Dec 16, 2019",2:16
Crow | Song on birds | 4K | Appu Series,"79,581 views","Dec 15, 2019",1:54
Barn Swallow | Song on birds | 4K | Appu Series,"12,981 views","Dec 14, 2019",3:18
20 Best Flower Songs | 4K | Appu Series,"130,836 views","Dec 14, 2019",43:35
Zinnia | Flower Song | 4K | Appu Series,"11,973 views","Dec 13, 2019",2:49
Tulip | Flower Song | 4K | Appu Series,"18,797 views","Dec 12, 2019",2:26
Sunflower | Flower Song | 4K | Appu Series,"24,320 views","Dec 11, 2019",1:49
Rose | Flower Song | 4K | Appu Series,"17,740 views","Dec 10, 2019",0:06
Plumeria | Flower Song | 4K | Appu Series,"16,958 views","Dec 9, 2019",2:00
Pansy | Flower Song | 4K | Appu Series,"14,439 views","Dec 8, 2019",2:14
Orchid | Flower Song | 4K | Appu Series,"12,360 views","Dec 7, 2019",2:50
Marigold | Flower Song | 4K | Appu Series,"30,258 views","Dec 6, 2019",2:55
Lotus | Flower Song | 4K | Appu Series,"17,045 views","Dec 5, 2019",2:43
Lily | Flower Song | 4K | Appu Series,"14,563 views","Dec 4, 2019",2:28
Preschool Learning Songs | Learning song for Children | 4K | Appu Series,"6,044 views","Dec 4, 2019",1:04:46
Learn About Home | Learning song for Children | 4K | Appu Series,"5,394 views","Dec 3, 2019",9:06
Jasmine | Flower Song | 4K | Appu Series,"17,108 views","Dec 3, 2019",2:22
Learn About Seasons | Learning song for Children | 4K | Appu Series,"5,180 views","Dec 2, 2019",9:11
Hyacinth | Flower Song | 4K | Appu Series,"9,945 views","Dec 2, 2019",2:31
Preschool Animal Learning Songs | Learning song for Children | 4K | Appu Series,"80,530 views","Dec 1, 2019",12:38
Hibiscus | Flower Song | 4K | Appu Series,"20,581 views","Dec 1, 2019",2:03
Learning Math | Learning song for Children | 4K | Appu Series,"7,089 views","Nov 30, 2019",21:59
Daisy | Flower Song | 4K | Appu Series,"14,055 views","Nov 29, 2019",2:05
Video Title,Number of Viewers,Video posting date,Video Length
The Caterpillar Song | Nature song for Kids | 4K | Appu Series,"14,403 views","Nov 15, 2019",2:37
Nature Sounds | Nature song for Kids | 4K | Appu Series,"7,790 views","Nov 13, 2019",3:52
The Busy Bee | Nature song for Kids | 4K | Appu Series,"9,677 views","Nov 14, 2019",2:02
Hey Little Squirrel | Nature song for Kids | 4K | Appu Series,"6,050 views","Nov 9, 2019",2:13
Habitats Of The World | Nature song for Kids | 4K | Appu Series,"125,300 views","Nov 8, 2019",2:35
Day Time Night Time Song | Nature song for Kids | 4K | Appu Series,"15,908 views","Nov 6, 2019",1:53
Bird In The Sky | Nature song for Kids | 4K | Appu Series,"19,515 views","Nov 4, 2019",0:11
Wild Animals | Learning song for Kids | 4K | Appu Series,"18,393 views","Oct 31, 2019",3:41
