scrape_date,website_url,Product_ID,GTIN,Brand,product,price,pack_size,multibuy_deal_quantity,multibuy_deal_price,undiscounted_price,delivery_available,review_rating,review_count,style,type,packaging,standard_drinks,alcohol_content,organic,origin
10/8/2021,https://www.liquorland.com.au/beer/budweiser-bottle-330ml_83560,83560,9.32E+12,Budweiser,Bottle 330mL,52,Pack (24),,,58,TRUE,4.3,10,Lager,Lager,Bottle,1.2,4.50%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/lorry-boys-pacific-ale-can-375ml_3891825,3891825,9.31394E+12,Lorry Boys,Pacific Ale Can 375mL,43,Pack (24),,,,TRUE,4.1,7,,Pacific Ale,Can,1.3,4.20%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/smithy-s-easy-drinking-beer-can-375ml_3702820,3702820,9.31394E+12,Smithy's,Easy Drinking Beer Can 375mL,35,Pack (24),,,,TRUE,4.7,6,,,Can,1.3,4.20%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/smithy-s-dry-lager-bottle-330ml_4310917,4310917,9.31394E+12,Smithy's,Dry Lager Bottle 330mL,39,Pack (24),,,45,TRUE,5,4,Lager,Dry,Bottle,1.2,4.30%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/kirin-ichiban-bottle-330ml_4443841,4443841,9.31189E+12,Kirin,Ichiban Bottle 330mL,52,Pack (24),,,,TRUE,3.5,6,,Lager,Bottle,1.4,5.00%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/james-squire-ginger-beer-can-330ml_3812261,3812261,9.32553E+12,James Squire,Ginger Beer Can 330mL,80,Pack (24),,,,TRUE,3.7,3,,,Can,1.1,4.00%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/coopers-sparkling-ale-bottle-375ml_35590,35590,9.31044E+12,Coopers,Sparkling Ale Bottle 375mL,70,Pack (24),,,,TRUE,5,4,Ale,Ale,Bottle,1.8,5.80%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/orchard-thieves-crisp-apple-cider-can-330ml_3341471,3341471,9.41434E+12,Orchard Thieves,Crisp Apple Cider Can 330mL,20,Pack (10),,,25,TRUE,,0,,,Can,1.2,4.50%,No,New Zealand
10/8/2021,https://www.liquorland.com.au/beer/great-northern-original-lager-block-375ml_2795360,2795360,9.32E+12,Great Northern,Original Lager Block 375mL,62,Pack (30),,,,TRUE,5,1,,,Can,1.3,4.20%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/strongbow-lower-carb-cider-bottle-355ml_7391777,7391777,9.32E+12,Strongbow,Lower Carb Cider Bottle 355mL,49,Pack (24),,,55,TRUE,5,3,Apple Cider,,Bottle,1.5,5.00%,No,Australia
