ID,Name,Minimum Order requirenment,color,Quantity and price,Size,images_url,Gross Weight,Material
SKU: 612MB003,Wholesale Men Pocket Design Casual Shorts Without Belt,1,"['Blue', 'Ochre', 'Army Green']","[['US$16.83', '1 piece'], ['US$14.31', '2-19 pieces'], ['US$12.43', ' ≥ 20 pieces']]","['XS', 'S', 'M', 'XXL', '3XL', '4XL', 'XS', 'S', 'M', 'L', 'XXL', '3XL', '4XL', 'XS', 'S', 'M', 'L', 'XXL', '3XL', '4XL']","['https://image.fashiontiy.com/200w/products/2019050807380371780.jpg', 'https://image.fashiontiy.com/200w/products/2019050807380385391.jpg', 'https://image.fashiontiy.com/200w/products/2019050807380455008.jpg', 'https://image.fashiontiy.com/200w/products/2019050807380351363.jpg', 'https://image.fashiontiy.com/200w/products/2019050807380439458.jpg', 'https://image.fashiontiy.com/200w/products/2019050807380563240.jpg', 'https://image.fashiontiy.com/200w/products/2019050807381768977.jpg', 'https://image.fashiontiy.com/200w/products/2019050807380396049.jpg']",510g,Cotton
SKU: 612MB004,Wholesale Men Solid Color Casual Cropped Pants Without Belt,1,"['Khaki', 'Navy Blue', 'Blue', 'D.Green', 'Black', 'White', 'Custom Service']","[['US$18.31', '1 piece'], ['US$15.62', ' ≥ 2 pieces']]","['XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', 'XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', 'XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', 'XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', 'XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', 'XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', 'XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL']","['https://image.fashiontiy.com/200w/products/2019050807451379492.jpg', 'https://image.fashiontiy.com/200w/products/2019050807451362742.jpg', 'https://image.fashiontiy.com/200w/products/2019050807451386432.jpg', 'https://image.fashiontiy.com/200w/products/2019050807451418557.jpg', 'https://image.fashiontiy.com/200w/products/2019050807451823488.jpg', 'https://image.fashiontiy.com/200w/products/2019050807451695326.jpg', 'https://image.fashiontiy.com/200w/products/2019050807451826256.jpg', 'https://image.fashiontiy.com/200w/products/2019050807451683442.jpg', 'https://image.fashiontiy.com/200w/products/2019050807451650246.jpg', 'https://image.fashiontiy.com/200w/products/2019050807451654808.jpg', 'https://image.fashiontiy.com/200w/products/2020111701012551152.jpg']",610g,Cotton
SKU: 612MB005,Wholesale Men Camouflage Printed Loose Shorts Without Belt,1,"['Blue', 'Army Green', 'D.Grey']","[['US$17.42', '1 piece'], ['US$14.83', '2-19 pieces'], ['US$12.91', ' ≥ 20 pieces']]","['XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', '5XL', '6XL', 'XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', '5XL', '6XL', 'XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', '5XL', '6XL']","['https://image.fashiontiy.com/200w/products/2019050807532050533.jpg', 'https://image.fashiontiy.com/200w/products/2019050807532038793.jpg', 'https://image.fashiontiy.com/200w/products/2019050807532242050.jpg', 'https://image.fashiontiy.com/200w/products/2019050807532533799.jpg', 'https://image.fashiontiy.com/200w/products/2019050807533256060.jpg', 'https://image.fashiontiy.com/200w/products/2019050807533221177.jpg', 'https://image.fashiontiy.com/200w/products/2019050807532083197.jpg', 'https://image.fashiontiy.com/200w/products/2019050807533278479.jpg']",560g,Cotton
SKU: 612MB007,Wholesale Hot Sale Men Camouflage Printed Shorts Without Belt,1,"['Orange', 'Yellow', 'Black', 'Black and White', 'White', 'Army Green', 'Khaki']","[['US$14.18', '1 piece'], ['US$11.94', ' ≥ 2 pieces']]","['XS', 'S', 'M', 'L', 'XXL', '3XL', '4XL', 'XS', 'S', 'M', 'L', 'XXL', '3XL', '4XL', 'XS', 'S', 'M', 'L', 'XXL', '3XL', '4XL', 'XS', 'S', 'M', 'L', 'XXL', '3XL', '4XL', 'XS', 'S', 'M', 'L', 'XXL', '3XL', '4XL', 'XS', 'S', 'M', 'L', 'XXL', '3XL', '4XL', 'XS', 'S', 'M', 'L', 'XXL', '3XL', '4XL']","['https://image.fashiontiy.com/200w/products/2019050808103587131.jpg', 'https://image.fashiontiy.com/200w/products/2019050808103576098.jpg', 'https://image.fashiontiy.com/200w/products/2019050808103775532.jpg', 'https://image.fashiontiy.com/200w/products/2019050808104170606.jpg', 'https://image.fashiontiy.com/200w/products/2019050808103884008.jpg', 'https://image.fashiontiy.com/200w/products/2019050808103962967.jpg', 'https://image.fashiontiy.com/200w/products/2019050808104118651.jpg', 'https://image.fashiontiy.com/200w/products/2019050808103579271.jpg', 'https://image.fashiontiy.com/200w/products/2019050808103585332.jpg', 'https://image.fashiontiy.com/200w/products/2019050808103531250.jpg', 'https://image.fashiontiy.com/200w/products/2019050808104054335.jpg', 'https://image.fashiontiy.com/200w/products/2019050808104015465.jpg']",460g,Cotton
SKU: 612MB009,Wholesale Men Color Blocking Casual Shorts Without Belt,1,"['Black', 'Lt.Green', 'D.Army']","[['US$13.01', '1 piece'], ['US$10.89', ' ≥ 2 pieces']]","['XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', 'XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', 'XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL']","['https://image.fashiontiy.com/imgs/icon_loading.svg', 'https://image.fashiontiy.com/imgs/icon_loading.svg', 'https://image.fashiontiy.com/imgs/icon_loading.svg', 'https://image.fashiontiy.com/imgs/icon_loading.svg', 'https://image.fashiontiy.com/imgs/icon_loading.svg', 'https://image.fashiontiy.com/imgs/icon_loading.svg', 'https://image.fashiontiy.com/imgs/icon_loading.svg', 'https://image.fashiontiy.com/imgs/icon_loading.svg', 'https://image.fashiontiy.com/imgs/icon_loading.svg', 'https://image.fashiontiy.com/imgs/icon_loading.svg']",510g,Cotton
SKU: 612MB010,Wholesale Men Solid Color Ripped Shorts,1,"['Royal Blue', 'Coffee', 'Black', 'Red', 'White', 'Custom Service']","[['US$15.36', '1 piece'], ['US$12.99', '2-19 pieces'], ['US$11.23', ' ≥ 20 pieces']]","['M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL', '3XL', 'L', 'M', 'XL', 'XXL']","['https://image.fashiontiy.com/200w/products/2019050808373618857.jpg', 'https://image.fashiontiy.com/200w/products/2019050808373247585.jpg', 'https://image.fashiontiy.com/200w/products/2019050808373221489.jpg', 'https://image.fashiontiy.com/200w/products/2019050808373462456.jpg', 'https://image.fashiontiy.com/200w/products/2019050808373394304.jpg', 'https://image.fashiontiy.com/200w/products/2019050808373311664.jpg', 'https://image.fashiontiy.com/200w/products/2019050808373811690.jpg', 'https://image.fashiontiy.com/200w/products/2019050808373734130.jpg', 'https://image.fashiontiy.com/200w/products/2019050808373647497.jpg', 'https://image.fashiontiy.com/imgs/icon_loading.svg', 'https://image.fashiontiy.com/200w/products/2019050808373665757.jpg', 'https://image.fashiontiy.com/200w/products/2019050808373636877.jpg', 'https://image.fashiontiy.com/200w/products/2019050808373155024.jpg', 'https://image.fashiontiy.com/200w/products/2019050808373138013.jpg', 'https://image.fashiontiy.com/200w/products/2020111701012551152.jpg']",410g,Cotton
SKU: 612MB011,Wholesale Men Solid Color Pocket Design Pants Without Belt,1,"['Green', 'D.Ochre', 'D.Ochre', 'Army Green', 'D.Grey', 'Black', 'Khaki', 'Custom Service']","[['US$21.52', '1 piece'], ['US$18.48', '2-19 pieces'], ['US$16.24', ' ≥ 20 pieces']]","['XXS', 'XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', 'XXS', 'XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', 'XXS', 'XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', 'XXS', 'XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', 'XXS', 'XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', 'XXS', 'XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', 'XXS', 'XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', '3XL', '4XL', 'L', 'M', 'S', 'XL', 'XS', 'XXL', 'XXS']","['https://image.fashiontiy.com/200w/products/2019050808475927919.jpg', 'https://image.fashiontiy.com/200w/products/2019050808475948803.jpg', 'https://image.fashiontiy.com/200w/products/2019050808475942430.jpg', 'https://image.fashiontiy.com/200w/products/2019050808475967602.jpg', 'https://image.fashiontiy.com/200w/products/2019050808480578500.jpg', 'https://image.fashiontiy.com/200w/products/2019050808480943349.jpg', 'https://image.fashiontiy.com/200w/products/2019050808480332012.jpg', 'https://image.fashiontiy.com/200w/products/2019050808480332012.jpg', 'https://image.fashiontiy.com/200w/products/2019050808480640955.jpg', 'https://image.fashiontiy.com/200w/products/2019050808480571332.jpg', 'https://image.fashiontiy.com/200w/products/2019050808475923319.jpg', 'https://image.fashiontiy.com/200w/products/2019050808480332012.jpg', 'https://image.fashiontiy.com/200w/products/2020111701012551152.jpg']",710g,Cotton
SKU: 612MB012,Wholesale Fashion Men Zipper Design Pants,1,"['Black', 'Army Green', 'Khaki', 'D.Grey', 'Custom Service']","[['US$29.22', '1 piece'], ['US$25.33', '2-19 pieces'], ['US$22.49', ' ≥ 20 pieces']]","['XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', 'XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', 'XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', 'XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', '3XL', '4XL', 'L', 'M', 'S', 'XL', 'XS', 'XXL']","['https://image.fashiontiy.com/200w/products/2019050809062312482.jpg', 'https://image.fashiontiy.com/200w/products/2019050809062030684.jpg', 'https://image.fashiontiy.com/200w/products/2019050809062052848.jpg', 'https://image.fashiontiy.com/200w/products/2019050809062099858.jpg', 'https://image.fashiontiy.com/200w/products/2019050809062075253.jpg', 'https://image.fashiontiy.com/200w/products/2019050809062066506.jpg', 'https://image.fashiontiy.com/200w/products/2019050809062399816.jpg', 'https://image.fashiontiy.com/200w/products/2019050809062337980.jpg', 'https://image.fashiontiy.com/200w/products/2019050809062368544.jpg', 'https://image.fashiontiy.com/200w/products/2019050809062344143.jpg', 'https://image.fashiontiy.com/200w/products/2019050809062344148.jpg', 'https://image.fashiontiy.com/200w/products/2019050809062686433.jpg', 'https://image.fashiontiy.com/200w/products/2020111701012551152.jpg']",660g,Cotton
SKU: 612MB013,Wholesale Men Solid Color Botton Design Pants,1,"['Green', 'D.Grey', 'Black', 'Custom Service']","[['US$29.22', '1 piece'], ['US$25.33', '2-19 pieces'], ['US$22.49', ' ≥ 20 pieces']]","['XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', 'XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', 'XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', '3XL', '4XL', 'L', 'M', 'S', 'XL', 'XS', 'XXL']","['https://image.fashiontiy.com/200w/products/2019050809144979570.jpg', 'https://image.fashiontiy.com/200w/products/2019050809144665504.jpg', 'https://image.fashiontiy.com/200w/products/2019050809144993269.jpg', 'https://image.fashiontiy.com/200w/products/2019050809144891532.jpg', 'https://image.fashiontiy.com/200w/products/2019050809144840336.jpg', 'https://image.fashiontiy.com/200w/products/2019050809144848163.jpg', 'https://image.fashiontiy.com/200w/products/2019050809144664437.jpg', 'https://image.fashiontiy.com/200w/products/2019050809144582848.jpg', 'https://image.fashiontiy.com/200w/products/2019050809144617378.jpg', 'https://image.fashiontiy.com/200w/products/2019050809144522525.jpg', 'https://image.fashiontiy.com/200w/products/2020111701012551152.jpg']",660g,Cotton
SKU: 612MB014,Wholesale Men Ruffle Design Slim Fit Pants,1,"['Green', 'Black', 'Custom Service']","[['US$25.97', '1 piece'], ['US$22.44', '2-19 pieces'], ['US$19.85', ' ≥ 20 pieces']]","['M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL', '3XL', 'L', 'M', 'XL', 'XXL']","['https://image.fashiontiy.com/200w/products/2019050809195093987.jpg', 'https://image.fashiontiy.com/200w/products/2019050809194894446.jpg', 'https://image.fashiontiy.com/200w/products/2019050809194973641.jpg', 'https://image.fashiontiy.com/200w/products/2019050809194920168.jpg', 'https://image.fashiontiy.com/200w/products/2019050809194885378.jpg', 'https://image.fashiontiy.com/200w/products/2019050809194958955.jpg', 'https://image.fashiontiy.com/200w/products/2019050809194991691.jpg', 'https://image.fashiontiy.com/200w/products/2019050809194733357.jpg', 'https://image.fashiontiy.com/200w/products/2020111701012551152.jpg']",710g,Cotton
