ID,Name,Minimum Order requirenment,color,Quantity and price,Size,images_url,Gross Weight,Material
327MW531,Wholesale M-2XL Men Fashion Camouflage Printed Long Sleeve Hoodie And Pants Two Pieces Set,1,"['Yellow+Letter', 'Yellow', 'Grey+Letter', 'Grey']","[['US$21.89', '1-4 sets'], ['US$20.56', '5-23 sets'], ['US$18.83', ' ≥ 24 sets']]",M|L|XL|2XL|M|L|XL|2XL|M|L|XL|2XL|M|L|XL|2XL,"https://image.fashiontiy.com/200w/products/2020120506152213419.jpg, https://image.fashiontiy.com/200w/products/2020120405585761764.jpg, https://image.fashiontiy.com/200w/products/2020120405585716337.jpg, https://image.fashiontiy.com/200w/products/2020120405585729542.jpg, https://image.fashiontiy.com/200w/products/2020120406033742504.jpg, https://image.fashiontiy.com/200w/products/2020120406033692722.jpg, https://image.fashiontiy.com/200w/products/2020120406003976052.jpg, https://image.fashiontiy.com/200w/products/2020120406003955184.jpg, https://image.fashiontiy.com/200w/products/2020120406003958483.jpg, https://image.fashiontiy.com/200w/products/2020120406003979847.jpg, https://image.fashiontiy.com/200w/products/2020120406023689940.jpg, https://image.fashiontiy.com/200w/products/2020120406023696373.jpg, https://image.fashiontiy.com/200w/products/2020120406023642267.jpg",1100g,Polyester
327MW535,Wholesale M-3XL Men Fashion Zipper Color Blocking Letter Printed Long Sleeve Coat And Pants Two Pieces Set,2,"['White', 'Grey', 'Black']","[['US$12.96', '2-4 sets'], ['US$12.24', '5-29 sets'], ['US$11.19', ' ≥ 30 sets']]",M|L|XL|2XL|3XL|M|L|XL|2XL|3XL|M|L|XL|2XL|3XL,"https://image.fashiontiy.com/200w/products/2020120406500390552.jpg, https://image.fashiontiy.com/200w/products/2020120406500217883.jpg, https://image.fashiontiy.com/200w/products/2020120406500191927.jpg, https://image.fashiontiy.com/200w/products/2020120406500261489.jpg, https://image.fashiontiy.com/200w/products/2020120406500061273.jpg, https://image.fashiontiy.com/200w/products/2020120406500235112.jpg, https://image.fashiontiy.com/200w/products/2020120406500277354.jpg, https://image.fashiontiy.com/200w/products/2020120406500462232.jpg, https://image.fashiontiy.com/200w/products/2020120406500064400.jpg, https://image.fashiontiy.com/200w/products/2020120406500082328.jpg, https://image.fashiontiy.com/200w/products/2020120406500086264.jpg, https://image.fashiontiy.com/200w/products/2020120406500053461.jpg, https://image.fashiontiy.com/200w/products/2020120406500282332.jpg",850g,Cotton Blended
327MW537,Wholesale S-3XL Men Fashion Zipper Letter Printed Long Sleeve Hoodie And Sweatpants Two Pieces Set,1,"['Black', 'D.Grey', 'Grey', 'White']","[['US$9.85', '1-5 sets'], ['US$8.75', '6-35 sets'], ['US$7.96', ' ≥ 36 sets']]",S|M|L|XL|2XL|3XL|S|M|L|XL|2XL|3XL|S|M|L|XL|2XL|3XL|S|M|L|XL|2XL|3XL,"https://image.fashiontiy.com/200w/products/2020120407272252967.jpg, https://image.fashiontiy.com/200w/products/2021011408190253252.jpg, https://image.fashiontiy.com/200w/products/2021011408190223977.jpg, https://image.fashiontiy.com/200w/products/2021011408190295497.jpg, https://image.fashiontiy.com/200w/products/2021011408190159672.jpg, https://image.fashiontiy.com/200w/products/2021011408190158644.jpg, https://image.fashiontiy.com/200w/products/2020120407272218831.jpg, https://image.fashiontiy.com/200w/products/2020120407272211958.jpg, https://image.fashiontiy.com/200w/products/2020120407272272939.jpg",1100g,Polyester
327MW549,Wholesale M-2XL Men Fashion Zipper Stripe Long Sleeve Coat And Pants Two Pieces Set,1,"['Black+White', 'Navy Blue+White']","[['US$20.09', '1-4 sets'], ['US$18.79', '5-23 sets'], ['US$17.24', ' ≥ 24 sets']]",M|L|XL|2XL|M|L|XL|2XL,"https://image.fashiontiy.com/200w/products/2020120503251910234.jpg, https://image.fashiontiy.com/200w/products/2020120503251568075.jpg, https://image.fashiontiy.com/200w/products/2020120503251661565.jpg, https://image.fashiontiy.com/200w/products/2020120503251632347.jpg, https://image.fashiontiy.com/200w/products/2020120503251883218.jpg, https://image.fashiontiy.com/200w/products/2020120503251655648.jpg, https://image.fashiontiy.com/200w/products/2020120503252191688.jpg, https://image.fashiontiy.com/200w/products/2020120503252020038.jpg, https://image.fashiontiy.com/200w/products/2020120503251870734.jpg, https://image.fashiontiy.com/200w/products/2020120503252082150.jpg, https://image.fashiontiy.com/200w/products/2020120503251772267.jpg, https://image.fashiontiy.com/200w/products/2020120503251761349.jpg",880g,Cotton Blended
327MW552,Wholesale M-3XL Men Fashion Letter Printed Long Sleeve Hooodie And Pants Two Pieces Set,2,"['Black+White', 'Black+Yellow']","[['US$11.69', '2-5 sets'], ['US$10.99', '6-35 sets'], ['US$10.38', ' ≥ 36 sets']]",M|L|XL|2XL|3XL|M|L|XL|2XL|3XL,"https://image.fashiontiy.com/200w/products/2020120505165431092.jpg, https://image.fashiontiy.com/200w/products/2020120505165282190.jpg, https://image.fashiontiy.com/200w/products/2020120505165444976.jpg, https://image.fashiontiy.com/200w/products/2020120505165427213.jpg",850g,Polyester
327MW553,Wholesale S-3XL Men Fashion Letter Printed Long Sleeve Hoodie And Pants Two Pieces Set,1,"['TZ8', 'TZ5', 'TZ7', 'TZ6', 'TZ2', 'TZ1', 'TZ3', 'TZ4']","[['US$9.53', '1-5 sets'], ['US$8.57', '6-35 sets'], ['US$7.79', ' ≥ 36 sets']]",S|M|L|2XL|3XL|S|M|L|2XL|3XL|S|M|L|2XL|3XL|S|M|L|2XL|3XL|S|M|L|2XL|3XL|S|M|L|2XL|3XL|S|M|L|2XL|3XL|S|M|L|2XL|3XL,"https://image.fashiontiy.com/200w/products/2020120505260193371.jpg, https://image.fashiontiy.com/200w/products/2020120505260239023.jpg, https://image.fashiontiy.com/200w/products/2020120505260269882.jpg, https://image.fashiontiy.com/200w/products/2020120505255955968.jpg, https://image.fashiontiy.com/200w/products/2020120505260016095.jpg, https://image.fashiontiy.com/200w/products/2020120505260147481.jpg, https://image.fashiontiy.com/200w/products/2020120505255979805.jpg, https://image.fashiontiy.com/200w/products/2020120505255945144.jpg, https://image.fashiontiy.com/200w/products/2020120505255982054.jpg, https://image.fashiontiy.com/200w/products/2020120505255939293.jpg, https://image.fashiontiy.com/200w/products/2020120505260119216.jpg",830g,Cotton Blended
327MW554,Wholesale S-3XL Men Fashion Letter Printed Long Sleeve Hoodie And Pants Two Pieces Set,2,"['White+Black', 'Lt.Grey+Black', 'Royal Blue', 'White', 'Red+Black', 'D.Grey+Black', 'Yellow', 'D.Grey', 'Black1', 'Lt.Grey', 'Navy Blue']","[['US$10.06', '2-5 sets'], ['US$9.45', '6-35 sets'], ['US$8.69', ' ≥ 36 sets']]",S|M|L|XL|2XL|3XL|S|M|L|XL|2XL|3XL|S|M|L|XL|2XL|3XL|S|M|L|XL|2XL|3XL|S|M|L|XL|2XL|3XL|S|M|L|XL|2XL|3XL|S|M|L|XL|2XL|3XL|S|M|L|XL|2XL|3XL|S|M|L|XL|2XL|3XL|S|M|L|XL|2XL|3XL|S|M|L|XL|2XL|3XL,"https://image.fashiontiy.com/200w/products/2020120505361452228.jpg, https://image.fashiontiy.com/200w/products/2020120505361424899.jpg, https://image.fashiontiy.com/200w/products/2020120505361527807.jpg, https://image.fashiontiy.com/200w/products/2020120505361210429.jpg, https://image.fashiontiy.com/200w/products/2020120505361554647.jpg, https://image.fashiontiy.com/200w/products/2020120505361269994.jpg, https://image.fashiontiy.com/200w/products/2020120505361210729.jpg, https://image.fashiontiy.com/200w/products/2020120505361218090.jpg, https://image.fashiontiy.com/200w/products/2020120505361292208.jpg, https://image.fashiontiy.com/200w/products/2020120505361215803.jpg, https://image.fashiontiy.com/200w/products/2020120505361551870.jpg",1300g,Cotton Blended
327MW564,Wholesale S-3XL Men Fashion Color Blocking Zipper Long Sleeve Coat And Pants Two Pieces Velvet Set,1,"['Red', 'Blue']","[['US$15.67', '1-4 sets'], ['US$14.15', '5-29 sets'], ['US$13.29', ' ≥ 30 sets']]",S|M|L|XL|XXL|3XL|S|M|L|XL|XXL|3XL,"https://image.fashiontiy.com/200w/products/2020121108232259014.jpg, https://image.fashiontiy.com/200w/products/2020121108232223347.jpg",1100g,Cellulose Acctate Fiber
327MW567,Wholesale M-2XL Men Fashionable Color Blocking Letter Printed Hoodie And Pants Two Piece Set,1,"['Grey', 'Black']","[['US$19.94', '1-2 sets'], ['US$18.59', '3-23 sets'], ['US$16.87', ' ≥ 24 sets']]",M|L|XL|XXL|M|L|XL|XXL,"https://image.fashiontiy.com/200w/products/2020121609000420530.jpg, https://image.fashiontiy.com/200w/products/2020121609000435712.jpg, https://image.fashiontiy.com/200w/products/2020121609000452409.jpg, https://image.fashiontiy.com/200w/products/2020121609000646437.jpg, https://image.fashiontiy.com/200w/products/2020121609000446653.jpg, https://image.fashiontiy.com/200w/products/2020121609000440917.jpg, https://image.fashiontiy.com/200w/products/2020121609000467629.jpg, https://image.fashiontiy.com/200w/products/2020121609000658417.jpg, https://image.fashiontiy.com/200w/products/2020121608575814431.jpg, https://image.fashiontiy.com/200w/products/2020121608583637544.jpg, https://image.fashiontiy.com/200w/products/2020121608583688115.jpg, https://image.fashiontiy.com/200w/products/2020121608583690092.jpg, https://image.fashiontiy.com/200w/products/2020121608583727412.jpg, https://image.fashiontiy.com/200w/products/2020121608583733035.jpg, https://image.fashiontiy.com/200w/products/2020121608583775243.jpg, https://image.fashiontiy.com/200w/products/2020121608583726146.jpg",880g,Cotton Blended
327MW572,Wholesale M-3XL Men Fashionable Letter Printed Tight Top And Bottom Three Piece Set,1,"['D.Green', 'Black']","[['US$24.79', '1-2 sets'], ['US$23.42', '3-23 sets'], ['US$21.29', ' ≥ 24 sets']]",M|L|XL|XXL|3XL|M|L|XL|XXL|3XL,"https://image.fashiontiy.com/200w/products/2020121609575550242.jpg, https://image.fashiontiy.com/200w/products/2020121609563025190.jpg, https://image.fashiontiy.com/200w/products/2020121609563058680.jpg, https://image.fashiontiy.com/200w/products/2020121609563087606.jpg, https://image.fashiontiy.com/200w/products/2020121609563189829.jpg, https://image.fashiontiy.com/200w/products/2020121609563023297.jpg, https://image.fashiontiy.com/200w/products/2020121609562933278.jpg, https://image.fashiontiy.com/200w/products/2020121609575527156.jpg, https://image.fashiontiy.com/200w/products/2020121609575532339.jpg",850g,Spandex
