ID,Name,Minimum Order requirenment,color,Quantity and price,Size,images_url,Gross Weight,Material
SKU: 327MW385,Wholesale M-2XL Men Fashion Solid Color Turtle Neck Long Sleeve Top,1,"['Camel-Yellow', 'Navy Blue', 'Burgundy', 'Lt.Grey', 'D.Grey', 'Olive', 'D.Green', 'Black', 'Purple', 'Red', 'White', 'Custom Service']","[['US$4.89', '1-7 pieces'], ['US$3.97', '8-49 pieces'], ['US$3.22', ' ≥ 50 pieces']]","['M', 'L', 'XL', 'XXL', 'M', 'L', 'XL', 'XXL', 'M', 'L', 'XL', 'XXL', 'M', 'L', 'XL', 'XXL', 'M', 'L', 'XL', 'XXL', 'M', 'L', 'XL', 'XXL', 'M', 'L', 'XL', 'XXL', 'M', 'L', 'XL', 'XXL', 'M', 'L', 'XL', 'XXL', 'M', 'L', 'XL', 'XXL', 'M', 'L', 'XL', 'XXL', 'M', 'L', 'XL', 'XXL']","['https://image.fashiontiy.com/200w/products/2020110608333386241.jpg', 'https://image.fashiontiy.com/200w/products/2020110608333466865.jpg', 'https://image.fashiontiy.com/200w/products/2020110608333261006.jpg', 'https://image.fashiontiy.com/200w/products/2020110608333186849.jpg', 'https://image.fashiontiy.com/200w/products/2020110608333161348.jpg', 'https://image.fashiontiy.com/200w/products/2020110608333422472.jpg', 'https://image.fashiontiy.com/200w/products/2020110608333316821.jpg', 'https://image.fashiontiy.com/200w/products/2020110608333297432.jpg', 'https://image.fashiontiy.com/200w/products/2020110608333112685.jpg', 'https://image.fashiontiy.com/200w/products/2020110608333351323.jpg', 'https://image.fashiontiy.com/200w/products/2020110608333444712.jpg', 'https://image.fashiontiy.com/200w/products/2020110608333178229.jpg', 'https://image.fashiontiy.com/200w/products/2020110608333251710.jpg', 'https://image.fashiontiy.com/200w/products/2020111302170795676.jpg']",330g,Polyester
SKU: 327MW386,Wholesale M-3XL Men Fashion Solid Color Turtle Neck Long Sleeve Knitwear,1,"['Beige', 'Navy Blue', 'Burgundy', 'Black', 'Grey', 'White', 'Custom Service']","[['US$6.09', '1-5 pieces'], ['US$5.66', '6-39 pieces'], ['US$4.75', ' ≥ 40 pieces']]","['M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL']","['https://image.fashiontiy.com/200w/products/2020110609025017396.jpg', 'https://image.fashiontiy.com/200w/products/2020110609025271590.jpg', 'https://image.fashiontiy.com/200w/products/2020110609025077165.jpg', 'https://image.fashiontiy.com/200w/products/2020110609025289161.jpg', 'https://image.fashiontiy.com/200w/products/2020110609025084943.jpg', 'https://image.fashiontiy.com/200w/products/2020110609025219143.jpg', 'https://image.fashiontiy.com/200w/products/2020110609025021681.jpg', 'https://image.fashiontiy.com/200w/products/2020110609025019123.jpg', 'https://image.fashiontiy.com/200w/products/2020110609025330676.jpg', 'https://image.fashiontiy.com/imgs/icon_loading.svg', 'https://image.fashiontiy.com/imgs/icon_loading.svg', 'https://image.fashiontiy.com/imgs/icon_loading.svg', 'https://image.fashiontiy.com/imgs/icon_loading.svg', 'https://image.fashiontiy.com/200w/products/2020110609025492166.jpg', 'https://image.fashiontiy.com/200w/products/2020110609025290939.jpg', 'https://image.fashiontiy.com/200w/products/2020110609025091656.jpg', 'https://image.fashiontiy.com/200w/products/2020110609025256812.jpg', 'https://image.fashiontiy.com/200w/products/2020111301405434276.jpg']",380g,Acrylic Fibers
SKU: 327MW387,Wholesale S-5XL Fashion Color Matching Stripe Long Sleeves Hoodie,1,"['Burgundy', 'Green', 'Black', 'Grey', 'Pink', 'White', 'Custom Service']","[['US$4.95', '1-7 pieces'], ['US$4.05', '8-49 pieces'], ['US$3.38', ' ≥ 50 pieces']]","['S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', '5XL', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', '5XL', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', '5XL', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', '5XL', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', '5XL', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', '5XL', 'S', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', '5XL']","['https://image.fashiontiy.com/200w/products/2020110609201679521.jpg', 'https://image.fashiontiy.com/200w/products/2020110609201731823.jpg', 'https://image.fashiontiy.com/200w/products/2020110609201620275.jpg', 'https://image.fashiontiy.com/200w/products/2020110609201725817.jpg', 'https://image.fashiontiy.com/200w/products/2020110609201629924.jpg', 'https://image.fashiontiy.com/200w/products/2020110609201745336.jpg', 'https://image.fashiontiy.com/200w/products/2020110609201626723.jpg', 'https://image.fashiontiy.com/200w/products/2020111401010799880.jpg']",450g,Polyester
SKU: 327MW389,Wholesale M-2XL Men Fashion Round Neck Color Blocking Long Sleeve Sweater,1,"['Grey', 'Green', 'Blue']","[['US$5.55', '1-7 pieces'], ['US$4.67', '8-49 pieces'], ['US$4.14', ' ≥ 50 pieces']]","['M', 'L', 'XL', 'XXL', 'M', 'L', 'XL', 'XXL', 'M', 'L', 'XL', 'XXL']","['https://image.fashiontiy.com/200w/products/2020110609483037909.jpg', 'https://image.fashiontiy.com/200w/products/2020110609482869089.jpg', 'https://image.fashiontiy.com/200w/products/2020110609482871997.jpg', 'https://image.fashiontiy.com/200w/products/2020110609482872649.jpg']",525g,Polyester
SKU: 327MW400,Wholesale S-2XL Men Fashion Letter Printed Round Neck T-Shirt,1,"['Neon Green', 'Blue', 'Black', 'White']","[['US$5.61', '1-5 pieces'], ['US$4.74', '6-35 pieces'], ['US$4.31', ' ≥ 36 pieces']]","['S', 'M', 'L', 'XL', 'XXL', 'S', 'M', 'L', 'XL', 'XXL', 'S', 'M', 'L', 'XL', 'XXL', 'S', 'M', 'L', 'XL', 'XXL']","['https://image.fashiontiy.com/200w/products/2020111107192570870.jpg', 'https://image.fashiontiy.com/200w/products/2020111107192729426.jpg', 'https://image.fashiontiy.com/200w/products/2020111107192567419.jpg', 'https://image.fashiontiy.com/200w/products/2020111107192623937.jpg', 'https://image.fashiontiy.com/200w/products/2020111107192517767.jpg', 'https://image.fashiontiy.com/200w/products/2020111107192565707.jpg', 'https://image.fashiontiy.com/200w/products/2020111107192580940.jpg']",200g,Cotton Blended
SKU: 327MW401,Wholesale M-3XL Men Fashion Round Neck Long Sleeve Patchwork Sweater,1,"['Gray Blue', 'Lt.Grey D.Blue', 'Lt.Grey Lt.Blue']","[['US$13.45', '1-5 pieces'], ['US$12.51', '6-35 pieces'], ['US$11.41', ' ≥ 36 pieces']]","['M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL', 'M', 'L', 'XL', 'XXL', '3XL']","['https://image.fashiontiy.com/200w/products/2020110905544579054.jpg', 'https://image.fashiontiy.com/200w/products/2020110905544527793.jpg', 'https://image.fashiontiy.com/200w/products/2020110905544693817.jpg', 'https://image.fashiontiy.com/200w/products/2020110905544579054.jpg', 'https://image.fashiontiy.com/200w/products/2020110905544596517.jpg', 'https://image.fashiontiy.com/200w/products/2020110905561110281.jpg', 'https://image.fashiontiy.com/200w/products/2020110905561110281.jpg', 'https://image.fashiontiy.com/200w/products/2020110905544776917.jpg', 'https://image.fashiontiy.com/200w/products/2020110905544590058.jpg', 'https://image.fashiontiy.com/200w/products/2020110905544738638.jpg', 'https://image.fashiontiy.com/200w/products/2020110905544995713.jpg', 'https://image.fashiontiy.com/200w/products/2020110905544774458.jpg', 'https://image.fashiontiy.com/imgs/icon_loading.svg']",460g,"Nylon,Polyester,Viscose"
SKU: 327MW402,Wholesale M-2XL Men Fashion Color Blocking Long Sleeve Knitted Cardigan,1,"['Black', 'Khaki']","[['US$8.27', '1-5 pieces'], ['US$7.57', '6-35 pieces'], ['US$6.89', ' ≥ 36 pieces']]","['M', 'L', 'XL', 'XXL', 'M', 'L', 'XL', 'XXL']","['https://image.fashiontiy.com/200w/products/2020110906380266315.jpg', 'https://image.fashiontiy.com/200w/products/2020110906380428058.jpg', 'https://image.fashiontiy.com/200w/products/2020110906380568942.jpg', 'https://image.fashiontiy.com/200w/products/2020110906380449901.jpg', 'https://image.fashiontiy.com/200w/products/2020110906380276689.jpg', 'https://image.fashiontiy.com/200w/products/2020110906380340936.jpg', 'https://image.fashiontiy.com/200w/products/2020110906380588923.jpg', 'https://image.fashiontiy.com/200w/products/2020110906380391443.jpg', 'https://image.fashiontiy.com/200w/products/2020110906380313725.jpg', 'https://image.fashiontiy.com/200w/products/2020110906380478486.jpg']",400g,Polyester
SKU: 327MW402,Wholesale M-2XL Men Fashion Color Blocking Long Sleeve Knitted Cardigan,1,"['Black', 'Khaki']","[['US$8.27', '1-5 pieces'], ['US$7.57', '6-35 pieces'], ['US$6.89', ' ≥ 36 pieces']]","['M', 'L', 'XL', 'XXL', 'M', 'L', 'XL', 'XXL']","['https://image.fashiontiy.com/200w/products/2020110906380266315.jpg', 'https://image.fashiontiy.com/200w/products/2020110906380428058.jpg', 'https://image.fashiontiy.com/200w/products/2020110906380568942.jpg', 'https://image.fashiontiy.com/200w/products/2020110906380449901.jpg', 'https://image.fashiontiy.com/200w/products/2020110906380276689.jpg', 'https://image.fashiontiy.com/200w/products/2020110906380340936.jpg', 'https://image.fashiontiy.com/200w/products/2020110906380588923.jpg', 'https://image.fashiontiy.com/200w/products/2020110906380391443.jpg', 'https://image.fashiontiy.com/imgs/icon_loading.svg', 'https://image.fashiontiy.com/imgs/icon_loading.svg']",400g,Polyester
SKU: 327MW403,Wholesale M-3XL Men Plus Size Color Blocking Round Neck Long Sleeve Knitted Sweater,1,"['Black', 'Grey', 'Red']","[['US$8.81', '1-5 pieces'], ['US$7.81', '6-35 pieces'], ['US$7.09', ' ≥ 36 pieces']]","['M', 'L', 'XL', 'XXL', '3XL', '4XL', 'M', 'L', 'XL', 'XXL', '3XL', '4XL', 'M', 'L', 'XL', 'XXL', '3XL', '4XL']","['https://image.fashiontiy.com/200w/products/2020111106083246088.jpg', 'https://image.fashiontiy.com/200w/products/2020110906512489713.jpg', 'https://image.fashiontiy.com/200w/products/2020110906512735999.jpg', 'https://image.fashiontiy.com/200w/products/2020110906512443418.jpg', 'https://image.fashiontiy.com/200w/products/2020110906512548054.jpg', 'https://image.fashiontiy.com/200w/products/2020110906512481162.jpg', 'https://image.fashiontiy.com/200w/products/2020110906512443385.jpg', 'https://image.fashiontiy.com/200w/products/2020110906512663890.jpg', 'https://image.fashiontiy.com/200w/products/2020110906512411496.jpg']",480g,Acrylic
SKU: 327MW404,Wholesale M-2XL Men Solid Color Round Neck Long Sleeve Top,1,"['White', 'Olive', 'D.Grey', 'Black', 'Custom Service']","[['US$6.63', '1-5 pieces'], ['US$5.69', '6-39 pieces'], ['US$4.75', ' ≥ 40 pieces']]","['M', 'L', 'XL', 'XXL', 'M', 'L', 'XL', 'XXL', 'M', 'L', 'XL', 'XXL', 'M', 'L', 'XL', 'XXL', 'M', 'L', 'XL', 'XXL']","['https://image.fashiontiy.com/200w/products/2020110907022030509.jpg', 'https://image.fashiontiy.com/200w/products/2020110907021943009.jpg', 'https://image.fashiontiy.com/200w/products/2020110907022192382.jpg', 'https://image.fashiontiy.com/200w/products/2020110907021999624.jpg', 'https://image.fashiontiy.com/200w/products/2020110907022231541.jpg', 'https://image.fashiontiy.com/200w/products/2020110907022166150.jpg', 'https://image.fashiontiy.com/200w/products/2020110907022246744.jpg', 'https://image.fashiontiy.com/200w/products/2020110907022030663.jpg', 'https://image.fashiontiy.com/200w/products/2020110907022058568.jpg', 'https://image.fashiontiy.com/200w/products/2020110907021949673.jpg', 'https://image.fashiontiy.com/200w/products/2020110907022352050.jpg', 'https://image.fashiontiy.com/200w/products/2020110907022482916.jpg', 'https://image.fashiontiy.com/200w/products/2020110907022191440.jpg', 'https://image.fashiontiy.com/200w/products/2020111302161823449.jpg']",330g,Cotton Blended
