Name,Phone,Street,State,Facility_Amenities,Office_hours,Access_Hours,images,images_url,img_url_name,size,catagory,discount,price,description,Size_Catagory_Discount_Price_description
Hwy 55 Storage,,1567 Mcminnville Hwy,"(['Manchester', ', ', 'TN', ' ', '37355'],)",,,,,,,,,,,,
Manchester Mini Storage,,67 Hillcrest Rd,"(['Manchester', ', ', 'TN', ' ', '37355'],)",,,,,,,,,,,,
Coffee County Mini Storage,,1642 Hillsboro Blvd,"(['Manchester', ', ', 'TN', ' ', '37355'],)",,,,,,,,,,,,
Central Storage,,378 Expressway Dr,"(['Manchester', ', ', 'TN', ' ', '37355'],)",,,,,,,,,,,,
Econo Mini Storage,,66 Stacy Ann Rd,"(['Manchester', ', ', 'TN', ' ', '37355'],)",,,,,,,,,,,,
Econo Mini-Storage,,2166 Old Tullahoma Hwy,"(['Manchester', ', ', 'TN', ' ', '37355'],)",,,,,,,,,,,,
All American Storage,,621 S Broadway,"(['Portland', ', ', 'TN', ' ', '37148'],)",,,,,,,,,,,,
Hometown Self Storage - Portland - 631 S Broadway,,631 South Broadway,"(['Portland', ', ', 'TN', ' ', '37148'],)",,,,,,,,,,,,
L & L Mini-storage - Portland - 108 Hwy-52 E,,108 Hwy 52 E,"(['Portland', ', ', 'TN', ' ', '37148'],)",,,,,,,,,,,,
L & L Mini-Storage,,108 College St,"(['Portland', ', ', 'TN', ' ', '37148'],)",,,,,,,,,,,,
Nationwide Fence & Mini Stge - Portland - 302 Sandye Ave,,302 Sandye Ave,"(['Portland', ', ', 'TN', ' ', '37148'],)",,,,,,,,,,,,
Portland Mini Storage,,404 N Russell St,"(['Portland', ', ', 'TN', ' ', '37148'],)",,,,,,,,,,,,
Storageguard A Selfstorage,,123 Freedom Dr,"(['Portland', ', ', 'TN', ' ', '37148'],)",,,,,,,,,,,,
North Side Mini Storage,,458 N Broadway,"(['Portland', ', ', 'TN', ' ', '37148'],)",,,,,,,,,,,,
E-Z Storage,,301 Red Boiling Springs Rd,"(['Lafayette', ', ', 'TN', ' ', '37083'],)",,,,,,,,,,,,
Lafayette Mini Storage,,822 Tn-52-byp E,"(['Lafayette', ', ', 'TN', ' ', '37083'],)",,,,,,,,,,,,
Hunters Creek Self Storage - Lebanon - 100 Hunters Creek Blvd,,100 Hunters Creek Blvd,"(['Lebanon', ', ', 'TN', ' ', '37087'],)",,,,,,,,,,,,
Compton's Storage,,2811 Smith Springs Rd,"(['Nashville', ', ', 'TN', ' ', '37217'],)",,,,,,,,,,,,
Exit 1 Self Storage - Clarksville - 1300 Tylertown Rd,,1300 Tylertown Rd,"(['Clarksville', ', ', 'TN', ' ', '37040'],)",,,,,,,,,,,,
Trenton Self Storage,,415 Penchem Rd,"(['Trenton', ', ', 'KY', ' ', '42286'],)",,,,,,,,,,,,
Self Storage Center,,4856 Kinneys School Rd,"(['Springfield', ', ', 'TN', ' ', '37172'],)",,,,,,,,,,,,
Hilldale Self Storage,,2110 Golf Club Ln,"(['Clarksville', ', ', 'TN', ' ', '37043'],)",,,,,,,,,,,,
TLC Mini Storage,,1960 Memorial Dr,"(['Clarksville', ', ', 'TN', ' ', '37043'],)",,,,,,,,,,,,
Chris Pitts Self Storage,,1912 Tn-149,"(['Erin', ', ', 'TN', ' ', '37061'],)",,,,,,,,,,,,
Advanced Climate Storage - Portland - 1020 Four Walls Way,,"(None,)","(['South Tunnel', ', ', 'TN', ' ', '37148'],)",,,,,,,,,,,,
